concern_id,concern_summary,source_reviewer,v1_limitation,v2_corrective_action,required_evidence,repository_artifact,status
RC01,Construct validity - conformance measured indirectly,ASE reviewers (aggregate),primary metrics were churn/drift not architecture conformance,define architectural conformance directly and tie every claim to a direct metric via a claim-construct-metric matrix,validated direct conformance metrics (G1;G6),docs/v2/RESEARCH_QUESTIONS.md + docs/v2/CLAIMS_CONSTRUCTS_METRICS.csv,corrective-action-designed; pending G1/G3/G6
RC02,Non-independent runs,ASE reviewers (aggregate),harness snapshotted a never-reset accumulating tree so churn was monotonic across tasks,each run starts from a clean frozen base SHA in a fresh process with per-cell repetition; independence enforced by the harness and manifest,run manifests with base_sha and repetition; reset protocol,experiments/v2/schemas/run_manifest.schema.json + docs/v2/RESET_PROTOCOL.md + docs/v2/FAILURE_RERUN_POLICY.md,corrective-action-designed; pending G2
RC03,Indirect churn-based primary metrics,ASE reviewers (aggregate),Delta-CodeLOC/drift used as primary evidence,demote code and test churn to secondary change-footprint metrics; make direct conformance and completeness primary,SAP with direct confirmatory endpoints,docs/v2/CLAIMS_CONSTRUCTS_METRICS.csv + docs/v2/STATISTICAL_ANALYSIS_PLAN.md,corrective-action-designed; pending G3
RC04,Contaminated baseline,ASE reviewers (aggregate),baseline condition could inherit development/machine context,fail-closed context isolation with per-condition allowlists and a CLEAN audit required per run,context_audit CLEAN verdicts; condition allowlists,docs/v2/CONTEXT_ISOLATION_POLICY.md + docs/v2/CONDITIONS.md + experiments/v2/harness/context_audit.py,corrective-action-designed; enforced in harness; pending experimental use
RC05,Single-run stochastic evidence,ASE reviewers (aggregate),one run per condition cell,pre-register a pilot-set replication count per cell and model stochasticity with mixed models,replication count (TD-B10); SAP,docs/v2/STATISTICAL_ANALYSIS_PLAN.md,corrective-action-designed; pending G2 (TD-B10)
RC06,Unvalidated AFCI-Guard,ASE reviewers (aggregate),guard had no validation and no tests,validate guard precision/recall on a labelled corpus with mutation/sanity tests before any conformance claim,guard precision/recall (G6); mutation tests,docs/v2/CLAIMS_CONSTRUCTS_METRICS.csv (CL14) + experiments/v2/schemas/guard_result.schema.json,corrective-action-designed; pending G6
RC07,Guard blind to path aliases,Independent ESE re-review (2026-07-18),guard matched literal libs/* while the repo uses @afci-bench/* aliases so it flagged nothing (total=0),make the guard alias-aware and prove it flags seeded @afci-bench/* boundary violations,alias-aware guard detecting seeded violations (G6),experiments/v2/schemas/guard_result.schema.json + experiments/v2/guard/,corrective-action-designed; pending G6
RC08,No task-acceptance oracle,Independent ESE re-review (2026-07-18),ci_pass saturated True (48/48) and parse defaulted True so completeness was unmeasured,add hidden acceptance tests and per-criterion coverage as the direct completeness measure independent of visible CI,hidden acceptance-test results; criteria coverage (G1),docs/v2/TASK_ACCEPTANCE_MATRIX.csv + experiments/v2/schemas/acceptance_result.schema.json,corrective-action-designed; pending G1
RC09,Constant metric published,Independent ESE re-review (2026-07-18),layer_jaccard was always 1.0 (self-comparison) yet reported,remove the degenerate metric; use applicable-rule satisfaction and a required/optional/prohibited layer matrix,rule-satisfaction and layer evidence (G1),docs/v2/TASK_LAYER_MATRIX.csv + docs/v2/CLAIMS_CONSTRUCTS_METRICS.csv,corrective-action-designed; pending G1
RC10,Harness invoked no model and never reset,Independent ESE re-review (2026-07-18),run_one_v1.sh invoked no model and never reset the tree,design a real sterile model-execution harness with a controlled reset protocol; model-execution controls audited (final settings not frozen here),run manifests + reset protocol + execution-controls audit,docs/v2/MODEL_EXECUTION_CONTROLS.md + docs/v2/RESET_PROTOCOL.md + experiments/v2/schemas/run_manifest.schema.json,corrective-action-designed; model settings not yet frozen (TD-B02/TD-B03)
RC11,Empty machine-checkable rules,Independent ESE re-review (2026-07-18),docs/ARCH_RULES.yml was 0 bytes despite claims of machine-checkable rules,author a non-empty machine-checkable v2 rule catalog mapped per task with severity and evaluator,populated rule catalog and task-rule matrix (G1),docs/v2/TASK_RULE_MATRIX.csv,corrective-action-designed; rule catalog unresolved (TD-B04)
RC12,Integrity over-claim risk,Independent ESE re-review (2026-07-18),conformance/CI/churn risked being presented as architectural integrity,define architectural integrity as a broader construct not directly measured; gate final claims and forbid supported-before-data,final-claim audit (G8),docs/v2/RESEARCH_QUESTIONS.md (CON-AI) + docs/v2/CLAIMS_CONSTRUCTS_METRICS.csv (CL13),corrective-action-designed; pending G8
